,Unnamed: 0,Star_name,Distance,Mass,Radius
157,157,2MASSW J1632291+190441 [de],50.0,0.046774812,0.099680112940073
158,158,WISEPA J164715.59+563208.2,28.0,0.039138108,0.09659721975499391
159,159,LSPM J1658+7027 [de],60.0,0.069684924,0.10687351607990264
160,160,2MASSI J1726000+153819,114.0,0.022910112,0.14386819754993915
162,162,SDSSp J175032.96+175903.9,90.0,0.044865636,0.099680112940073
163,163,2MASS J18283572-4849046,39.0,0.04295646,0.09762484877496957
164,164,LSR J1835+3259,18.5,0.073503276,0.10995641539013384
165,165,2MASSW J1841086+311727,138.0,0.063957396,0.10379062901997566
166,166,2MASS J18432213+4040209,46.0,0.091640448,0.125370862940073
167,167,2MASS J20004841-7523070,105.0,0.0238647,0.19319443950998783
168,168,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865247779494524
169,169,2MASSI J2057540-025230,47.0,0.06682116,0.10481825803995132
171,171,2MASSI J2104149-103736,62.0,0.065866572,0.10481825803995132
172,172,PSO J318.5−22,80.0,0.0062048220000000005,0.15722738705992698
173,173,HB 2124-4228,113.0,0.089731272,0.12434323392009734
174,174,2MASS J21392676+0220226,32.1,0.043911048,0.09865247779494524
175,175,2MASS J21481628+4003593,26.3,0.05250234,0.10173537098002433
177,177,2MASSW J2206450-421721,93.0,0.021000936,0.13667479441010952
178,178,2MASSW J2208136+292121,154.0,0.025773876,0.14489582656991482
179,179,2MASSW J2224438-015852,38.0,0.058229868000000004,0.10173537098002433
180,180,2MASS J22282889-4310262,35.0,0.040092696000000004,0.09659721975499391
181,181,2MASS J22373255+3922398,64.0,0.069684924,0.10687351607990264
182,182,2MASSW J2244316+204343,56.0,0.011455056,0.13256426607990265
183,183,2MASS J23224684-3133231,56.0,0.022910112,0.1428405685299635
184,184,2MASS J23225299-6151275,148.0,0.016227996,0.16339317343008516
185,185,2MASS J23515044-2537367,67.0,0.084003744,0.11920507656991482
186,186,2MASSI J2356547-155310,74.0,0.07636704,0.11201167343008517
224,224,WISE 0410+1502,20.0,0.005727528,0.12023270558989048
228,228,WISE 0458+6434A,35.9,0.014318820000000001,0.4316045803995132
229,229,WISE 0458+6434B,35.9,0.00954588,0.3904993950998783
283,283,WISE 1405+5534,25.3,0.028637640000000002,0.0883761814700365
